,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1139386,85.0
1,Memento,2000,8.5,80,978501,85.0
2,Snatch,2000,8.3,55,685636,83.0
3,Requiem for a Dream,2000,8.3,68,664958,83.0
4,X-Men,2000,7.4,64,511407,74.0
5,Cast Away,2000,7.8,73,449222,78.0
6,American Psycho,2000,7.6,64,408153,76.0
7,Unbreakable,2000,7.2,62,295176,72.0
8,Meet the Parents,2000,7.0,73,283801,70.0
9,Mission: Impossible II,2000,6.1,59,270151,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69,251031,78.0
11,Gone in Sixty Seconds,2000,6.5,35,237620,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93,233437,79.0
13,The Patriot,2000,7.2,63,228683,72.0
14,Almost Famous,2000,7.9,90,227033,79.0
15,Pitch Black,2000,7.1,49,208361,71.0
16,Scary Movie,2000,6.2,48,206469,62.0
17,"Me, Myself & Irene",2000,6.6,49,202573,66.0
18,Final Destination,2000,6.7,36,201621,67.0
19,The Beach,2000,6.6,43,199251,66.0
20,Amores Perros,2000,8.1,83,198918,81.0
21,Traffic,2000,7.6,86,181434,76.0
22,Remember the Titans,2000,7.8,48,177569,78.0
23,What Women Want,2000,6.4,47,174145,64.0
24,How the Grinch Stole Christmas,2000,6.1,46,166552,61.0
25,Chocolat,2000,7.3,64,163095,73.0
26,Miss Congeniality,2000,6.2,43,158493,62.0
27,Charlie's Angels,2000,5.5,52,157616,55.0
28,Chicken Run,2000,7.0,88,156631,70.0
29,High Fidelity,2000,7.5,79,154184,75.0
30,Battle Royale,2000,7.7,81,153358,77.0
31,Erin Brockovich,2000,7.3,73,151197,73.0
32,The Emperor's New Groove,2000,7.3,70,149680,73.0
33,Road Trip,2000,6.5,55,144123,65.0
34,The Perfect Storm,2000,6.4,59,142649,64.0
35,"Dude, Where's My Car?",2000,5.5,30,125245,55.0
36,Hollow Man,2000,5.7,24,110973,57.0
37,Scream 3,2000,5.5,56,109147,55.0
38,Billy Elliot,2000,7.7,74,108662,77.0
39,The 6th Day,2000,5.9,49,107296,59.0
40,Shanghai Noon,2000,6.6,77,107137,66.0
41,What Lies Beneath,2000,6.6,51,106524,66.0
42,Pay It Forward,2000,7.2,40,104230,72.0
43,The Whole Nine Yards,2000,6.7,47,98876,67.0
44,Coyote Ugly,2000,5.6,27,97907,56.0
45,Men of Honor,2000,7.2,56,97565,72.0
46,In the Mood for Love,2000,8.1,85,97382,81.0
47,The Family Man,2000,6.7,42,93685,67.0
48,Frequency,2000,7.4,67,90882,74.0
49,Dancer in the Dark,2000,8.0,61,89014,80.0
50,Bedazzled,2000,6.0,49,88429,60.0
51,Little Nicky,2000,5.3,38,88060,53.0
52,The Cell,2000,6.3,40,86577,63.0
53,Bring It On,2000,6.0,52,77686,60.0
54,Finding Forrester,2000,7.3,62,77245,73.0
55,Malèna,2000,7.5,54,75351,75.0
56,Big Momma's House,2000,5.1,33,73348,51.0
57,Battlefield Earth,2000,2.4,9,70468,24.0
58,U-571,2000,6.6,62,70381,66.0
59,The Road to El Dorado,2000,6.9,51,70182,69.0
60,Space Cowboys,2000,6.4,73,65963,64.0
61,Mission to Mars,2000,5.6,34,65269,56.0
62,Shaft,2000,5.9,50,63166,59.0
63,Romeo Must Die,2000,6.1,52,61396,61.0
64,Wonder Boys,2000,7.4,73,57526,74.0
65,The Gift,2000,6.7,62,56705,67.0
66,Titan A.E.,2000,6.6,48,55127,66.0
67,Vertical Limit,2000,5.9,48,53588,59.0
68,The Crimson Rivers,2000,6.9,49,52727,69.0
69,The Replacements,2000,6.5,30,52578,65.0
70,Proof of Life,2000,6.2,45,51853,62.0
71,Red Planet,2000,5.7,34,51154,57.0
72,Best in Show,2000,7.5,78,49782,75.0
73,The Legend of Bagger Vance,2000,6.7,47,49290,67.0
74,Thirteen Days,2000,7.3,67,49054,73.0
75,Sexy Beast,2000,7.3,79,48058,73.0
76,Quills,2000,7.3,70,47870,73.0
77,Keeping the Faith,2000,6.4,60,47036,64.0
78,Boiler Room,2000,7.0,63,45047,70.0
79,Dinosaur,2000,6.5,56,44584,65.0
80,Nine Queens,2000,7.9,80,43854,79.0
81,Nutty Professor II: The Klumps,2000,4.4,38,43798,44.0
82,Rules of Engagement,2000,6.4,45,40451,64.0
83,28 Days,2000,6.0,46,38567,60.0
84,The Kid,2000,6.1,45,36959,61.0
85,Shadow of the Vampire,2000,6.9,71,36657,69.0
86,Ginger Snaps,2000,6.8,70,36542,68.0
87,Tigerland,2000,7.0,55,35482,70.0
88,Reindeer Games,2000,5.7,37,34070,57.0
89,Small Time Crooks,2000,6.7,69,33715,67.0
90,Chopper,2000,7.2,65,33702,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15,32465,40.0
92,Next Friday,2000,6.1,41,31998,61.0
93,Nurse Betty,2000,6.2,69,31356,62.0
94,102 Dalmatians,2000,4.9,35,29988,49.0
95,Get Carter,2000,5.1,24,29707,51.0
96,Dracula 2000,2000,4.9,26,29439,49.0
97,Where the Heart Is,2000,6.8,30,29306,68.0
98,Dungeons & Dragons,2000,3.7,14,29279,37.0
99,The Way of the Gun,2000,6.7,49,29265,67.0
100,The Skulls,2000,5.6,24,28831,56.0
101,The Art of War,2000,5.7,30,26814,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62,25575,77.0
103,You Can Count on Me,2000,7.7,85,25211,77.0
104,Pollock,2000,7.0,77,24906,70.0
105,Loser,2000,5.3,35,24520,53.0
106,The Watcher,2000,5.3,22,23699,53.0
107,Autumn in New York,2000,5.6,24,22386,56.0
108,Before Night Falls,2000,7.3,85,22239,73.0
109,Joint Security Area,2000,7.9,58,22153,79.0
110,The Contender,2000,7.0,59,21550,70.0
111,Brother,2000,7.2,47,20056,72.0
112,Under Suspicion,2000,6.5,43,19877,65.0
113,The Million Dollar Hotel,2000,5.9,25,19503,59.0
114,State and Main,2000,6.8,75,19179,68.0
115,Together,2000,7.5,84,18856,75.0
116,Bounce,2000,5.7,52,18708,57.0
117,In July,2000,7.8,71,18646,78.0
118,My Dog Skip,2000,7.0,61,17860,70.0
119,The Adventures of Rocky & Bullwinkle,2000,4.2,36,17858,42.0
120,The Flintstones in Viva Rock Vegas,2000,3.6,27,17809,36.0
121,Highlander: Endgame,2000,4.6,21,17756,46.0
122,Return to Me,2000,6.9,54,17728,69.0
123,The Yards,2000,6.4,58,17703,64.0
124,Center Stage,2000,6.7,52,17035,67.0
125,Flickering Lights,2000,7.7,47,16735,77.0
126,Dr. T & the Women,2000,4.6,64,16500,46.0
127,Saving Grace,2000,6.9,62,16398,69.0
128,Love & Basketball,2000,7.2,70,16024,72.0
129,Supernova,2000,4.8,19,15819,48.0
130,Yi Yi,2000,8.1,93,15725,81.0
131,Rape Me,2000,4.5,35,15572,45.0
132,Songs from the Second Floor,2000,7.7,76,14864,77.0
133,The Tigger Movie,2000,6.3,53,14826,63.0
134,Boys and Girls,2000,5.4,29,14748,54.0
135,Urban Legends: Final Cut,2000,4.2,16,14255,42.0
136,The Dish,2000,7.2,74,13800,72.0
137,The Princess and the Warrior,2000,7.5,64,13539,75.0
138,Gossip,2000,5.9,31,13335,59.0
139,The Man Who Cried,2000,6.2,40,13298,62.0
140,Down to You,2000,4.9,13,13164,49.0
141,Bless the Child,2000,5.1,17,12954,51.0
142,Ready to Rumble,2000,5.3,23,12586,53.0
143,Drowning Mona,2000,5.6,25,12386,56.0
144,Cecil B. DeMented,2000,6.2,57,12225,62.0
145,All the Pretty Horses,2000,5.8,55,12146,58.0
146,Italian for Beginners,2000,7.1,77,12005,71.0
147,Gangster No. 1,2000,6.8,60,11871,68.0
148,Animal Factory,2000,6.6,65,11548,66.0
149,The Ladies Man,2000,5.1,22,11455,51.0
150,The Isle,2000,7.0,61,11209,70.0
151,Blood: The Last Vampire,2000,6.7,44,10981,67.0
152,Hanging Up,2000,4.8,33,10949,48.0
153,Anatomy,2000,6.1,33,10785,61.0
154,Werckmeister Harmonies,2000,8.2,92,10453,82.0
155,Snow Day,2000,5.0,34,10296,50.0
156,The Next Best Thing,2000,4.7,25,9972,47.0
157,Code Unknown,2000,7.2,74,9925,72.0
158,Lost Souls,2000,4.8,16,9884,48.0
159,Bait,2000,5.8,39,9756,58.0
160,Rugrats in Paris: The Movie,2000,6.2,62,9458,62.0
161,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1421809,88.0
162,A Beautiful Mind,2001,8.2,72,725019,82.0
163,"Monsters, Inc.",2001,8.1,78,693504,81.0
164,Donnie Darko,2001,8.1,88,667387,81.0
165,Amélie,2001,8.3,69,619434,83.0
166,Shrek,2001,7.9,84,528633,79.0
167,Harry Potter and the Sorcerer's Stone,2001,7.6,64,527957,76.0
168,Spirited Away,2001,8.6,96,514630,86.0
169,Ocean's Eleven,2001,7.8,74,453522,78.0
170,Training Day,2001,7.7,69,340606,77.0
171,Black Hawk Down,2001,7.7,74,325198,77.0
172,The Fast and the Furious,2001,6.7,58,306315,67.0
173,The Others,2001,7.6,74,301184,76.0
174,Pearl Harbor,2001,6.1,44,282274,61.0
175,Mulholland Drive,2001,8.0,83,275926,80.0
176,The Mummy Returns,2001,6.3,48,272704,63.0
177,A.I. Artificial Intelligence,2001,7.1,65,265397,71.0
178,Jurassic Park III,2001,5.9,42,254520,59.0
179,Moulin Rouge!,2001,7.6,66,244248,76.0
180,The Royal Tenenbaums,2001,7.6,76,235394,76.0
181,Hannibal,2001,6.8,57,228270,68.0
182,Vanilla Sky,2001,6.9,45,225305,69.0
183,Zoolander,2001,6.6,61,222508,66.0
184,American Pie 2,2001,6.4,43,217752,64.0
185,Blow,2001,7.6,52,216768,76.0
186,Enemy at the Gates,2001,7.6,53,214095,76.0
187,Bridget Jones's Diary,2001,6.7,66,196309,67.0
188,Planet of the Apes,2001,5.7,50,195754,57.0
189,Lara Croft: Tomb Raider,2001,5.8,33,177986,58.0
190,Rush Hour 2,2001,6.6,48,177634,66.0
191,Swordfish,2001,6.5,32,165081,65.0
192,K-PAX,2001,7.4,49,162780,74.0
193,Legally Blonde,2001,6.2,59,153070,62.0
194,A Knight's Tale,2001,6.9,56,151367,69.0
195,Jay and Silent Bob Strike Back,2001,6.9,51,137151,69.0
196,From Hell,2001,6.8,54,135277,68.0
197,Scary Movie 2,2001,5.3,29,132700,53.0
198,I Am Sam,2001,7.6,28,132133,76.0
199,Spy Game,2001,7.1,63,130697,71.0
200,Shallow Hal,2001,5.9,48,117707,59.0
201,The Score,2001,6.8,71,109747,68.0
202,Evolution,2001,6.1,40,109608,61.0
203,The Princess Diaries,2001,6.3,52,108861,63.0
204,Ghost World,2001,7.4,88,104136,74.0
205,Y Tu Mamá También,2001,7.7,88,101377,77.0
206,Rat Race,2001,6.4,52,99792,64.0
207,Jeepers Creepers,2001,6.2,49,99013,62.0
208,Serendipity,2001,6.9,52,94797,69.0
209,Spy Kids,2001,5.5,71,94702,55.0
210,The Mexican,2001,6.1,43,94208,61.0
211,The Man Who Wasn't There,2001,7.6,73,93835,76.0
212,Behind Enemy Lines,2001,6.4,49,92607,64.0
213,Not Another Teen Movie,2001,5.7,32,87564,57.0
214,Lagaan: Once Upon a Time in India,2001,8.1,84,87292,81.0
215,Atlantis: The Lost Empire,2001,6.8,52,86398,68.0
216,Super Troopers,2001,7.1,48,86024,71.0
217,Ali,2001,6.8,65,85426,68.0
218,The Experiment,2001,7.7,60,85071,77.0
219,The One,2001,5.9,25,83339,59.0
220,Sweet November,2001,6.7,27,77274,67.0
221,Final Fantasy: The Spirits Within,2001,6.4,49,76615,64.0
222,Monster's Ball,2001,7.1,69,76559,71.0
223,Kate & Leopold,2001,6.4,44,71351,64.0
224,Thir13en Ghosts,2001,5.6,30,71261,56.0
225,Gosford Park,2001,7.3,90,70785,73.0
226,Frailty,2001,7.3,64,68187,73.0
227,The Wedding Planner,2001,5.3,33,68058,53.0
228,Along Came a Spider,2001,6.3,42,65213,63.0
229,Shaolin Soccer,2001,7.3,68,64739,73.0
230,The Last Castle,2001,6.9,43,62257,69.0
231,Bandits,2001,6.5,60,60800,65.0
232,Joy Ride,2001,6.6,75,58162,66.0
233,Brotherhood of the Wolf,2001,7.1,57,56688,71.0
234,Kiss of the Dragon,2001,6.6,58,56653,66.0
235,Waking Life,2001,7.8,82,55022,78.0
236,The Devil's Backbone,2001,7.5,78,54710,75.0
237,Save the Last Dance,2001,6.2,53,52297,62.0
238,The Animal,2001,4.8,43,51728,48.0
239,Cats & Dogs,2001,5.1,47,50939,51.0
240,America's Sweethearts,2001,5.7,44,50869,57.0
241,Original Sin,2001,6.0,33,48885,60.0
242,The Majestic,2001,6.9,27,48379,69.0
243,Session 9,2001,6.5,58,48149,65.0
244,How High,2001,6.3,29,47962,63.0
245,The Pledge,2001,6.8,71,47488,68.0
246,Wet Hot American Summer,2001,6.7,42,47470,67.0
247,Heartbreakers,2001,6.2,47,47400,62.0
248,Ichi the Killer,2001,7.1,55,46808,71.0
249,Ghosts of Mars,2001,4.9,35,46602,49.0
250,The Piano Teacher,2001,7.5,79,46263,75.0
251,Joe Dirt,2001,5.9,20,45736,59.0
252,15 Minutes,2001,6.1,34,45372,61.0
253,Formula 51,2001,6.3,23,45118,63.0
254,Don't Say a Word,2001,6.3,38,44127,63.0
255,Jason X,2001,4.4,25,43907,44.0
256,Freddy Got Fingered,2001,4.5,13,42497,45.0
257,Life as a House,2001,7.5,45,41033,75.0
258,No Man's Land,2001,8.0,84,40766,80.0
259,3000 Miles to Graceland,2001,5.9,21,40682,59.0
260,Dr. Dolittle 2,2001,4.7,49,37688,47.0
261,Rock Star,2001,6.2,54,37502,62.0
262,Cowboy Bebop: The Movie,2001,7.9,61,36816,79.0
263,Driven,2001,4.6,29,36564,46.0
264,Saving Silverman,2001,5.9,22,35693,59.0
265,The Curse of the Jade Scorpion,2001,6.8,52,34788,68.0
266,In the Bedroom,2001,7.4,86,34537,74.0
267,Black Knight,2001,4.8,32,34125,48.0
268,The Believer,2001,7.2,75,33481,72.0
269,Hearts in Atlantis,2001,6.9,55,33058,69.0
270,Wasabi,2001,6.7,53,32892,67.0
271,Mean Machine,2001,6.5,45,32171,65.0
272,Sex and Lucia,2001,7.2,65,32058,72.0
273,Bully,2001,7.0,45,31529,70.0
274,The Shipping News,2001,6.8,47,30301,68.0
275,Captain Corelli's Mandolin,2001,5.9,36,30262,59.0
276,Heist,2001,6.5,66,30115,65.0
277,Exit Wounds,2001,5.5,39,29454,55.0
278,Hedwig and the Angry Inch,2001,7.8,85,28519,78.0
279,Osmosis Jones,2001,6.3,57,28343,63.0
280,The Glass House,2001,5.8,34,28044,58.0
281,Bubble Boy,2001,5.6,41,27689,56.0
282,One Night at McCool's,2001,6.1,46,27002,61.0
283,Jimmy Neutron: Boy Genius,2001,6.0,65,26955,60.0
284,Antitrust,2001,6.1,31,26882,61.0
285,The Tailor of Panama,2001,6.1,66,25676,61.0
286,Hardball,2001,6.4,48,25341,64.0
287,Riding in Cars with Boys,2001,6.5,43,24522,65.0
288,Birthday Girl,2001,6.1,51,22850,61.0
289,Domestic Disturbance,2001,5.5,29,22767,55.0
290,Crazy/Beautiful,2001,6.5,61,22598,65.0
291,Valentine,2001,4.8,18,22123,48.0
292,Buffalo Soldiers,2001,6.8,56,21788,68.0
293,Someone Like You...,2001,6.1,32,21640,61.0
294,Crocodile Dundee in Los Angeles,2001,4.8,37,21554,48.0
295,Monsoon Wedding,2001,7.4,77,21457,74.0
296,Impostor,2001,6.2,33,21225,62.0
297,Knockaround Guys,2001,6.1,30,20899,61.0
298,Angel Eyes,2001,5.6,39,20688,56.0
299,Glitter,2001,2.2,14,20368,22.0
300,Down to Earth,2001,5.4,32,20139,54.0
301,Josie and the Pussycats,2001,5.4,47,20027,54.0
302,Enigma,2001,6.4,64,18809,64.0
303,Metropolis,2001,7.3,75,18430,73.0
304,Lost and Delirious,2001,7.0,53,18422,70.0
305,O,2001,6.2,53,18173,62.0
306,Millennium Actress,2001,7.9,70,18133,79.0
307,Lantana,2001,7.3,84,17381,73.0
308,Tape,2001,7.3,71,17136,73.0
309,Just Visiting,2001,5.8,38,16585,58.0
310,Get Over It,2001,5.8,52,16549,58.0
311,Human Nature,2001,6.4,56,16357,64.0
312,Tomcats,2001,5.3,15,16258,53.0
313,Storytelling,2001,6.9,50,16125,69.0
314,The Son's Room,2001,7.4,73,16001,74.0
315,Made,2001,6.4,62,15847,64.0
316,Iris,2001,7.1,76,15829,71.0
317,Out Cold,2001,6.3,22,15432,63.0
318,Monkeybone,2001,4.7,40,15402,47.0
319,The Closet,2001,7.1,72,15202,71.0
320,Kissing Jessica Stein,2001,6.6,72,14880,66.0
321,Summer Catch,2001,5.0,21,13932,50.0
322,Pulse,2001,6.6,70,13683,66.0
323,What's the Worst That Could Happen?,2001,5.5,37,13660,55.0
324,The Musketeer,2001,4.7,27,13396,47.0
325,Son of the Bride,2001,7.8,68,13187,78.0
326,The Lord of the Rings: The Two Towers,2002,8.7,87,1270065,87.0
327,Catch Me If You Can,2002,8.1,75,662433,81.0
328,City of God,2002,8.6,79,610613,86.0
329,Spider-Man,2002,7.3,73,609764,73.0
330,The Pianist,2002,8.5,85,596076,85.0
331,Star Wars: Episode II - Attack of the Clones,2002,6.6,54,544046,66.0
332,The Bourne Identity,2002,7.9,68,457281,79.0
333,Harry Potter and the Chamber of Secrets,2002,7.4,63,457052,74.0
334,Minority Report,2002,7.7,80,447918,77.0
335,Ice Age,2002,7.5,60,374942,75.0
336,Gangs of New York,2002,7.5,72,355043,75.0
337,28 Days Later...,2002,7.6,73,331940,76.0
338,Signs,2002,6.7,59,300818,67.0
339,Men in Black II,2002,6.1,49,294805,61.0
340,Equilibrium,2002,7.5,33,285841,75.0
341,The Ring,2002,7.1,57,285428,71.0
342,The Transporter,2002,6.8,51,260237,68.0
343,Insomnia,2002,7.2,78,244037,72.0
344,Phone Booth,2002,7.1,56,228632,71.0
345,Panic Room,2002,6.8,65,228038,68.0
346,Resident Evil,2002,6.7,33,223188,67.0
347,Red Dragon,2002,7.2,60,222975,72.0
348,Road to Perdition,2002,7.7,72,220555,77.0
349,8 Mile,2002,7.1,77,215654,71.0
350,Chicago,2002,7.2,82,192877,72.0
351,Die Another Day,2002,6.1,56,184617,61.0
352,A Walk to Remember,2002,7.4,35,180835,74.0
353,Blade II,2002,6.7,52,178195,67.0
354,Austin Powers in Goldmember,2002,6.2,62,177052,62.0
355,Hero,2002,7.9,85,161335,79.0
356,xXx,2002,5.9,48,160438,59.0
357,25th Hour,2002,7.7,67,159197,77.0
358,Adaptation.,2002,7.7,83,159198,77.0
359,About a Boy,2002,7.1,75,154747,71.0
360,Lilo & Stitch,2002,7.2,73,139384,72.0
361,Bowling for Columbine,2002,8.0,72,131476,80.0
362,Punch-Drunk Love,2002,7.3,78,125086,73.0
363,Mr. Deeds,2002,5.8,24,122052,58.0
364,We Were Soldiers,2002,7.2,65,116004,72.0
365,Reign of Fire,2002,6.2,39,115971,62.0
366,The Count of Monte Cristo,2002,7.8,61,115258,78.0
367,The Scorpion King,2002,5.5,45,114942,55.0
368,About Schmidt,2002,7.2,85,114575,72.0
369,The Hours,2002,7.6,80,112470,76.0
370,My Big Fat Greek Wedding,2002,6.6,62,110532,66.0
371,John Q,2002,7.1,30,110276,71.0
372,The Time Machine,2002,5.9,42,110137,59.0
373,Infernal Affairs,2002,8.1,75,108112,81.0
374,One Hour Photo,2002,6.8,64,104948,68.0
375,Irreversible,2002,7.4,51,99661,74.0
376,Bend It Like Beckham,2002,6.7,66,96706,67.0
377,Van Wilder: Party Liaison,2002,6.4,26,95514,64.0
378,Two Weeks Notice,2002,6.1,42,94468,61.0
379,Talk to Her,2002,8.0,86,94163,80.0
380,The Sum of All Fears,2002,6.4,45,93495,64.0
381,Sweet Home Alabama,2002,6.2,45,91963,62.0
382,Treasure Planet,2002,7.1,60,84655,71.0
383,Ghost Ship,2002,5.5,28,83098,55.0
384,Scooby-Doo,2002,5.0,35,81977,50.0
385,The Hot Chick,2002,5.5,29,81724,55.0
386,Confessions of a Dangerous Mind,2002,7.1,67,76765,71.0
387,Analyze That,2002,5.9,37,75498,59.0
388,Maid in Manhattan,2002,5.1,45,75399,51.0
389,Secretary,2002,7.0,63,74488,70.0
390,Jackass: The Movie,2002,6.6,42,74095,66.0
391,Solaris,2002,6.2,65,72763,62.0
392,Frida,2002,7.4,61,70807,74.0
393,Unfaithful,2002,6.7,63,70538,67.0
394,The Tuxedo,2002,5.3,30,69808,53.0
395,The Mothman Prophecies,2002,6.5,52,68997,65.0
396,Cabin Fever,2002,5.6,56,67823,56.0
397,Collateral Damage,2002,5.5,33,66419,55.0
398,40 Days and 40 Nights,2002,5.6,53,65614,56.0
399,Star Trek: Nemesis,2002,6.4,51,64900,64.0
400,Changing Lanes,2002,6.5,69,61842,65.0
401,Windtalkers,2002,6.0,51,60431,60.0
402,Showtime,2002,5.5,32,56081,55.0
403,S1m0ne,2002,6.1,49,55187,61.0
404,K-19: The Widowmaker,2002,6.7,58,53636,67.0
405,Spirit: Stallion of the Cimarron,2002,7.1,52,53581,71.0
406,Sympathy for Mr. Vengeance,2002,7.7,56,53250,77.0
407,Spy Kids 2: Island of Lost Dreams,2002,5.1,66,51565,51.0
408,The Sweetest Thing,2002,5.1,32,50160,51.0
409,Queen of the Damned,2002,5.3,30,47903,53.0
410,Eight Legged Freaks,2002,5.4,53,47715,54.0
411,Murder by Numbers,2002,6.1,50,47699,61.0
412,Hart's War,2002,6.3,49,47104,63.0
413,The Rules of Attraction,2002,6.7,50,46695,67.0
414,I Spy,2002,5.4,35,44922,54.0
415,Orange County,2002,6.2,48,43875,62.0
416,Stuart Little 2,2002,5.5,66,42728,55.0
417,Bad Company,2002,5.6,37,42174,56.0
418,Bubba Ho-Tep,2002,7.1,57,41783,71.0
419,The Santa Clause 2,2002,5.6,48,41379,56.0
420,Kung Pow: Enter the Fist,2002,6.2,14,40507,62.0
421,The Good Girl,2002,6.5,71,40490,65.0
422,Far from Heaven,2002,7.4,84,39592,74.0
423,Lilya 4-Ever,2002,7.9,82,38583,79.0
424,In America,2002,7.8,76,38380,78.0
425,Blood Work,2002,6.4,64,37834,64.0
426,Dirty Pretty Things,2002,7.4,78,37519,74.0
427,L'auberge espagnole,2002,7.3,65,36786,73.0
428,Whale Rider,2002,7.6,80,36646,76.0
429,Death to Smoochy,2002,6.4,38,36413,64.0
430,Narc,2002,7.2,70,36032,72.0
431,Crossroads,2002,3.4,27,35880,34.0
432,Ju-on: The Grudge,2002,6.7,48,35586,67.0
433,Enough,2002,5.7,25,34340,57.0
434,High Crimes,2002,6.3,48,34117,63.0
435,Spun,2002,6.8,41,34051,68.0
436,Dragonfly,2002,6.1,25,33964,61.0
437,Spider,2002,6.8,83,32707,68.0
438,Big Fat Liar,2002,5.4,36,31492,54.0
439,Undercover Brother,2002,5.8,69,31269,58.0
440,The New Guy,2002,5.9,24,30929,59.0
441,Drumline,2002,5.7,63,30880,57.0
442,Femme Fatale,2002,6.3,59,30774,63.0
443,Halloween: Resurrection,2002,4.1,19,30683,41.0
444,Igby Goes Down,2002,7.0,72,30382,70.0
445,The Four Feathers,2002,6.5,49,30175,65.0
446,May,2002,6.7,58,29576,67.0
447,24 Hour Party People,2002,7.4,85,29364,74.0
448,Antwone Fisher,2002,7.3,62,29296,73.0
449,The Rookie,2002,7.0,72,28886,70.0
450,Boat Trip,2002,4.9,18,28457,49.0
451,The Salton Sea,2002,7.2,41,27994,72.0
452,Blue Crush,2002,5.7,61,27774,57.0
453,White Oleander,2002,7.2,61,27386,72.0
454,Barbershop,2002,6.3,66,26778,63.0
455,The Eye,2002,6.7,66,26256,67.0
456,8 Women,2002,7.1,64,26032,71.0
457,Undisputed,2002,6.2,58,25610,62.0
458,The Quiet American,2002,7.1,84,25382,71.0
459,Rabbit-Proof Fence,2002,7.5,80,25222,75.0
460,The Magdalene Sisters,2002,7.8,83,23985,78.0
461,Hollywood Ending,2002,6.6,46,23766,66.0
462,Rollerball,2002,3.0,14,23416,30.0
463,City by the Sea,2002,6.1,50,22712,61.0
464,Snow Dogs,2002,5.1,29,22561,51.0
465,Friday After Next,2002,5.8,35,22500,58.0
466,The Adventures of Pluto Nash,2002,3.8,12,21818,38.0
467,Heaven,2002,7.1,68,21734,71.0
468,Bloody Sunday,2002,7.7,90,21425,77.0
469,Life or Something Like It,2002,5.8,31,21271,58.0
470,Trapped,2002,6.2,42,21201,62.0
471,The Importance of Being Earnest,2002,6.9,60,20459,69.0
472,The Twilight Samurai,2002,8.1,82,19803,81.0
473,The Man Without a Past,2002,7.7,84,19619,77.0
474,Eight Crazy Nights,2002,5.3,23,19619,53.0
475,Tuck Everlasting,2002,6.7,66,19487,67.0
476,The Master of Disguise,2002,3.3,12,19462,33.0
477,Below,2002,6.2,55,19283,62.0
478,Dark Blue,2002,6.6,57,18729,66.0
479,Big Trouble,2002,6.5,47,18552,65.0
480,Feardotcom,2002,3.3,16,18178,33.0
481,Darkness,2002,5.4,15,17732,54.0
482,Ballistic: Ecks vs. Sever,2002,3.6,19,17626,36.0
483,Swimfan,2002,5.0,29,17493,50.0
484,He Loves Me... He Loves Me Not,2002,7.2,63,17360,72.0
485,Like Mike,2002,5.2,47,16823,52.0
486,Divine Secrets of the Ya-Ya Sisterhood,2002,6.0,48,16519,60.0
487,Russian Ark,2002,7.4,86,16388,74.0
488,Gerry,2002,6.2,54,16328,62.0
489,Roger Dodger,2002,7.0,75,16033,70.0
490,Serving Sara,2002,5.3,18,15472,53.0
491,Peter Pan II: Return to Neverland,2002,5.8,49,15440,58.0
492,The Emperor's Club,2002,6.9,49,15407,69.0
493,Distant,2002,7.7,84,14832,77.0
494,Laurel Canyon,2002,6.4,61,14578,64.0
495,Dolls,2002,7.7,71,14480,77.0
496,The Guru,2002,5.4,47,14145,54.0
497,The Lord of the Rings: The Return of the King,2003,8.9,94,1404458,89.0
498,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,922351,80.0
499,Kill Bill: Vol. 1,2003,8.1,69,853228,81.0
500,Finding Nemo,2003,8.1,90,817412,81.0
501,The Matrix Reloaded,2003,7.2,62,460160,72.0
502,X-Men 2,2003,7.5,68,458574,75.0
503,Oldboy,2003,8.4,74,429074,84.0
504,Matrix Revolutions,2003,6.7,47,399165,67.0
505,Big Fish,2003,8.0,58,378841,80.0
506,Mystic River,2003,8.0,84,373685,80.0
507,Love Actually,2003,7.6,55,362799,76.0
508,Lost in Translation,2003,7.8,89,358477,78.0
509,The Last Samurai,2003,7.7,55,353293,77.0
510,Terminator 3: Rise of the Machines,2003,6.3,66,336422,63.0
511,Bruce Almighty,2003,6.7,46,331276,67.0
512,The Italian Job,2003,7.0,68,311343,70.0
513,School of Rock,2003,7.1,82,232666,71.0
514,Underworld,2003,7.0,42,231633,70.0
515,Hulk,2003,5.7,54,231545,57.0
516,2 Fast 2 Furious,2003,5.9,38,219706,59.0
517,21 Grams,2003,7.7,70,206067,77.0
518,Identity,2003,7.3,64,199995,73.0
519,Old School,2003,7.1,54,198139,71.0
520,Bad Boys II,2003,6.6,38,197394,66.0
521,Daredevil,2003,5.3,42,191316,53.0
522,Anger Management,2003,6.2,52,185262,62.0
523,Master and Commander: The Far Side of the World,2003,7.4,81,183885,74.0
524,How to Lose a Guy in 10 Days,2003,6.4,45,180268,64.0
525,American Wedding,2003,6.3,43,176527,63.0
526,Elf,2003,6.9,64,173838,69.0
527,The League of Extraordinary Gentlemen,2003,5.8,30,152547,58.0
528,Once Upon a Time in Mexico,2003,6.4,56,140724,64.0
529,Final Destination 2,2003,6.2,38,134104,62.0
530,S.W.A.T.,2003,6.0,45,128131,60.0
